City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,Huarmey,-10.0681,-78.1522,72.32,77,76,6.69,PE,2023-01-25 23:56:18
189,Mogadishu,2.0371,45.3438,75.27,79,0,22.26,SO,2023-01-25 23:56:18
190,Muisne,0.6,-80.0333,77.41,83,86,7.58,EC,2023-01-25 23:56:40
191,Bluff,-46.6,168.3333,65.43,56,73,3.31,NZ,2023-01-25 23:56:40
192,Severo-Kurilsk,50.6789,156.125,25.88,89,100,14.45,RU,2023-01-25 23:56:40
193,Palu,-0.8917,119.8707,78.55,92,100,0.47,ID,2023-01-25 23:56:41
194,Comodoro Rivadavia,-45.8667,-67.5,75.06,22,20,25.32,AR,2023-01-25 23:56:41
195,Camacha,33.0833,-16.3333,56.62,63,40,17.27,PT,2023-01-25 23:56:41
196,Deputatskiy,69.3,139.9,-36.27,98,74,2.08,RU,2023-01-25 23:56:42
197,Seddon,-37.8068,144.8916,69.89,71,75,12.66,AU,2023-01-25 23:56:42
198,La Gomera,14.0833,-91.05,81.54,62,60,9.82,GT,2023-01-25 23:56:42
199,Hokitika,-42.7167,170.9667,66.18,74,97,7.61,NZ,2023-01-25 23:56:43
200,Kipushi,-11.7667,27.2333,58.91,97,100,5.39,CD,2023-01-25 23:56:43
201,Jardim,-21.4803,-56.1381,81.99,59,87,4.61,BR,2023-01-25 23:56:43
202,Odessa,46.4775,30.7326,32.41,75,10,6.55,UA,2023-01-25 23:56:43
203,Koutsouras,35.0339,25.9469,55.11,76,41,4.83,GR,2023-01-25 23:56:44
204,Port Augusta,-32.5,137.7667,78.24,34,75,13.56,AU,2023-01-25 23:56:44
205,San Quintin,30.4833,-115.95,60.64,43,81,7.63,MX,2023-01-25 23:56:45
206,Debre Birhan,9.6833,39.5333,48.27,54,35,4.25,ET,2023-01-25 23:56:45
207,Riviera Beach,26.7753,-80.0581,78.06,81,100,15.21,US,2023-01-25 23:56:45
208,Ponta Do Sol,32.6667,-17.1,61.72,59,11,11.25,PT,2023-01-25 23:56:46
209,Klaksvik,62.2266,-6.589,36.52,69,100,18.03,FO,2023-01-25 23:56:46
